x,y
1650.0,657.0
1637.4185869816565,666.4185869816565
1624.604558737665,671.604558737665
1613.6343867956498,672.6343867956498
1599.310175988885,677.310175988885
1584.0017013998693,681.0017013998693
1569.6581443529392,681.6581443529392
1551.0725167351925,687.0725167351926
1540.1468653756933,686.1468653756932
1524.792334804839,689.792334804839
1510.1775290621495,691.1775290621495
1494.5617449890162,696.5617449890162
1480.3407454184364,684.3407454184364
1461.764131869299,694.7641318692989
1446.1391610195635,687.1391610195635
1427.9552004093093,699.9552004093093
1423.2937068574088,696.2937068574089
1405.94559367316,672.9455936731599
1374.9062762888068,700.9062762888067
1373.2831951184558,649.2831951184558
1332.4878125169355,694.4878125169354
1318.503102858456,671.5031028584561
1295.6837852667102,697.6837852667101
1287.250261954319,707.2502619543191
1291.3749334098336,700.3749334098335
1292.6917495633177,698.6917495633176
1290.0900466112473,696.0900466112474
1278.0452087689353,701.0452087689353
1265.7532003287106,704.7532003287105
1251.5916544723052,703.5916544723051
1231.0778273090687,707.0778273090687
1217.0632430806438,701.0632430806437
1203.0834326692793,706.0834326692793
1184.777793797559,706.7777937975592
1159.961540503792,712.9615405037921
1136.3110450364495,721.3110450364494
1116.862779842084,723.8627798420839
1104.073171859917,714.073171859917
1088.5613873439295,714.5613873439295
1073.846597207957,715.8465972079572
1058.9119525767894,717.0164635554055
1043.9773079456218,718.1863299028538
1029.042663314454,719.3561962503021
1014.1080186832864,720.5260625977504
999.1733740521188,721.6959289451987
984.2387294209511,722.865795292647
969.3040847897835,724.0356616400953
954.3694401586158,725.2055279875436
939.4347955274482,726.3753943349919
924.5001508962805,727.5452606824402
909.5655062651128,728.7151270298885
894.6308616339452,729.8849933773369
879.6962170027775,731.0548597247852
864.7615723716099,732.2247260722335
849.8269277404422,733.3945924196818
834.8922831092746,734.5644587671301
819.9576384781069,735.7343251145784
805.0229938469392,736.9041914620267
790.0883492157716,738.074057809475
775.1537045846039,739.2439241569233
760.2190599534363,740.4137905043716
745.2844153222686,741.5836568518199
730.349770691101,742.7535231992682
715.4151260599333,743.9233895467165
700.4804814287656,745.0932558941648
685.545836797598,746.2631222416131
670.6111921664303,747.4329885890614
655.6765475352627,748.6028549365097
640.741902904095,749.772721283958
625.8072582729274,750.9425876314064
663.811621066197,744.811621066197
652.2696656459333,743.2696656459333
641.521084980111,745.5210849801111
631.4737854747207,742.4737854747207
622.3060918229572,741.3060918229572
616.2699880939845,737.2699880939845
607.5179817080564,735.5179817080564
595.0029659036727,734.0029659036727
579.8446577202682,732.8446577202682
567.8752571496416,732.8752571496416
585.8683760161395,656.8683760161395
530.6196301534844,725.6196301534844
539.3447983273826,702.3447983273825
520.0051179347082,732.0051179347082
507.55501469192507,743.5550146919251
503.3172619807604,712.3172619807603
473.546221607146,749.546221607146
465.50971187138043,752.5097118713804
453.4279319321871,731.4279319321871
421.3920378123566,752.3920378123566
419.9532480156818,707.9532480156819
381.2581038329203,752.2581038329204
372.2316766297216,735.2316766297216
343.2369867287156,756.2369867287156
322.5161241451972,742.5161241451972
300.40810874399745,757.4081087439974
280.4064246190955,737.4064246190954
258.80446202898327,751.8044620289833
243.00590996494046,756.0059099649404
226.240305052363,756.240305052363
199.5733356137529,741.5733356137529
186.1566661006194,753.1566661006194
163.0292867996957,757.0292867996957
136.33501621646542,756.3350162164654
102.6856530782126,741.6856530782126
83.81585228743774,742.8158522874377
66.56643139418141,745.5664313941814
60.293741597320604,743.2937415973206
47.441962035949786,743.4419620359498
29.58936655857091,741.5893665585709
11.765993191322018,736.765993191322
4.259253098071593,727.2592530980716
299.45220098548833,364.4522009854883
249.78612830614057,355.78612830614054
245.98789427938155,335.9878942793816
239.16425559391155,338.16425559391155
224.35438947266368,335.3543894726637
222.0584339390017,338.0584339390017
199.128416525382,356.12841652538197
193.3561640060186,348.3561640060186
163.22070336083158,368.2207033608316
-6.169361791177494,545.8306382088224
147.47868949629654,360.4786894962965
136.09353785273268,354.09353785273265
123.37468008636812,336.37468008636813
117.37812092280936,320.37812092280933
